company,symbol
Beiersdorf AG,BEI
Deutsche Telekom AG,DTE
Vonovia SE,VNA
Merck KGaA,MRK
MTU,MTX
E ONSE,EOAN
RWE AG,RWE
Heidelberg Cement AG,HEI
Siemens AG,SIE
Linde,LIN
Qiagen,QIA
Henkel,HNK
Daimler AG,DAI
Continental AG,CON
Bayer AG,BAYN
Volkswagen AG,VOW3
Fresenius,FRE
Symrise AG,SY1
Sartorius AG,SRT
Porsche,PAH3
SAP,SAP
Adidas AG,ADS
Deutsche Bank AG,DBK
Puma SE,PUM
Siemens Healthineers AG,SHL
Airbus SE,AIR
Covestro AG,1COV
Allianz SE,ALV
Infineon Technologies AG,IFX
BMW,BMW
Hannover R AG,HNR1
Siemens Energy,ENR
Zalando SE,ZAL
Muenchener Rueckversicherungs Gesellschaft AGin Muenchen,MUV2
Deutsche Post AG,DPW
BASF SE,BAS
Deutsche Boerse AG,DB1
Brenntag,BNR
