timestamp,esgScore,governanceScore,environmentScore,socialScore,symbol
2021-01-01,23.1,7.8,8.06,7.24,BEI
2021-02-01,24.13,7.74,8.36,8.03,BEI
2021-03-01,24.13,7.74,8.36,8.03,BEI
2021-05-01,24.06,7.74,8.29,8.03,BEI
2021-09-01,24.06,7.74,8.29,8.03,BEI
2022-02-01,28.97,7.88,8.71,12.38,BEI
2022-05-01,28.97,7.88,8.71,12.38,BEI
2022-08-01,28.97,7.88,8.71,12.38,BEI
2023-01-01,29.03,7.75,8.71,12.57,BEI
2023-09-01,29.09,7.75,8.76,12.57,BEI
2021-01-01,16.71,7.17,2.18,7.36,DTE
2021-02-01,16.42,6.88,2.18,7.36,DTE
2021-03-01,16.42,6.88,2.18,7.36,DTE
2021-05-01,16.84,6.88,2.6,7.36,DTE
2021-09-01,17.58,6.64,2.72,8.22,DTE
2022-02-01,16.79,6.44,2.6,7.75,DTE
2022-05-01,16.79,6.44,2.6,7.75,DTE
2022-08-01,16.3,5.95,2.6,7.75,DTE
2023-09-01,18.7,6.47,3.44,8.8,DTE
2021-01-01,7.71,4.25,0.82,2.65,VNA
2021-02-01,7.71,4.25,0.82,2.65,VNA
2021-03-01,7.71,4.25,0.82,2.65,VNA
2021-05-01,7.71,4.25,0.82,2.65,VNA
2021-09-01,6.75,3.67,0.78,2.31,VNA
2022-02-01,6.75,3.67,0.78,2.31,VNA
2022-05-01,6.75,3.67,0.78,2.31,VNA
2022-08-01,6.75,3.67,0.78,2.31,VNA
2023-01-01,6.75,3.67,0.78,2.31,VNA
2023-09-01,7.56,4.4,1.74,1.43,VNA
2021-01-01,19.35,7.96,0.56,10.83,MRK
2021-02-01,19.35,7.96,0.56,10.83,MRK
2021-03-01,19.46,7.96,0.68,10.83,MRK
2021-05-01,19.6,8.1,0.68,10.82,MRK
2021-09-01,20.1,8.41,0.68,11.01,MRK
2022-02-01,18.31,7.58,0.68,10.05,MRK
2022-05-01,18.32,7.59,0.68,10.05,MRK
2022-08-01,21.3,8.62,2.64,10.04,MRK
2023-09-01,17.74,6.82,2.55,8.37,MRK
2021-01-01,23.98,6.15,7.89,9.94,MTX
2021-02-01,23.98,6.15,7.89,9.94,MTX
2021-03-01,23.98,6.15,7.89,9.94,MTX
2021-05-01,24.07,6.15,7.98,9.94,MTX
2021-09-01,24.07,6.15,7.98,9.94,MTX
2022-02-01,24.36,5.58,8.11,10.68,MTX
2022-05-01,24.36,5.58,8.11,10.68,MTX
2022-08-01,24.36,5.58,8.11,10.68,MTX
2023-01-01,27.69,7.89,7.88,11.91,MTX
2023-09-01,27.49,7.89,7.68,11.91,MTX
2021-01-01,23.72,5.78,8.32,9.62,EOAN
2021-02-01,23.72,5.78,8.32,9.62,EOAN
2021-03-01,23.72,5.78,8.32,9.62,EOAN
2021-05-01,24.93,5.78,9.17,9.97,EOAN
2021-09-01,18.22,5.42,5.14,7.66,EOAN
2022-02-01,18.22,5.42,5.14,7.66,EOAN
2022-05-01,18.37,5.42,5.12,7.84,EOAN
2022-08-01,23.2,5.07,7.3,10.83,EOAN
2023-01-01,23.81,5.07,7.73,11.01,EOAN
2023-09-01,17.64,4.56,3.81,9.28,EOAN
2021-01-01,33.45,6.2,19.25,8.0,RWE
2021-02-01,33.45,6.2,19.25,8.0,RWE
2021-03-01,33.45,6.2,19.25,8.0,RWE
2021-05-01,33.07,6.2,18.87,8.0,RWE
2021-09-01,33.23,6.36,18.87,8.0,RWE
2022-02-01,22.73,5.43,10.87,6.43,RWE
2022-05-01,22.68,5.25,10.86,6.57,RWE
2022-08-01,22.68,5.25,10.86,6.57,RWE
2023-01-01,22.68,5.25,10.86,6.57,RWE
2023-09-01,23.31,5.37,10.81,7.14,RWE
2021-01-01,29.31,9.25,15.44,4.62,HEI
2021-02-01,29.31,9.25,15.44,4.62,HEI
2021-03-01,29.31,9.25,15.44,4.62,HEI
2021-05-01,28.62,9.25,14.76,4.62,HEI
2021-09-01,28.76,8.53,16.55,3.68,HEI
2022-02-01,27.4,8.39,15.34,3.68,HEI
2022-05-01,27.4,8.39,15.34,3.68,HEI
2022-08-01,27.01,7.99,15.34,3.68,HEI
2023-01-01,27.75,6.37,15.71,5.67,HEI
2023-09-01,26.97,6.37,14.93,5.67,HEI
2021-01-01,28.04,12.8,8.97,6.28,SIE
2021-02-01,28.04,12.8,8.97,6.28,SIE
2021-03-01,28.04,12.8,8.97,6.28,SIE
2021-05-01,28.43,10.06,9.36,9.01,SIE
2021-09-01,28.43,10.06,9.36,9.01,SIE
2022-02-01,28.02,10.06,8.95,9.01,SIE
2022-05-01,30.23,9.44,9.73,11.06,SIE
2022-08-01,30.08,9.44,9.73,10.91,SIE
2023-09-01,28.47,7.94,9.87,10.67,SIE
2024-10-01,11.63,2.09,8.24,1.31,LIN
2021-01-01,17.45,7.67,1.75,8.03,QIA
2021-02-01,17.45,7.67,1.75,8.03,QIA
2021-03-01,17.45,7.67,1.75,8.03,QIA
2021-05-01,17.45,7.67,1.75,8.03,QIA
2021-09-01,17.45,7.67,1.75,8.03,QIA
2022-02-01,16.53,7.38,1.75,7.4,QIA
2022-05-01,15.51,7.36,1.63,6.52,QIA
2022-08-01,15.51,7.36,1.63,6.52,QIA
2023-01-01,15.51,7.36,1.63,6.52,QIA
2023-09-01,14.29,6.64,1.63,6.02,QIA
2021-01-01,26.12,9.83,8.68,7.61,DAI
2021-02-01,26.12,9.83,8.68,7.61,DAI
2021-03-01,26.12,9.83,8.68,7.61,DAI
2021-05-01,25.84,9.83,8.46,7.55,DAI
2021-09-01,22.14,7.1,7.76,7.27,DAI
2022-02-01,22.38,7.1,8.0,7.27,DAI
2021-01-01,12.74,6.52,1.68,4.54,CON
2021-02-01,12.33,6.11,1.68,4.54,CON
2021-03-01,13.57,6.48,1.58,5.51,CON
2021-05-01,13.57,6.48,1.58,5.51,CON
2021-09-01,13.57,6.48,1.58,5.51,CON
2022-02-01,13.19,6.1,1.58,5.51,CON
2022-05-01,15.71,6.18,1.89,7.65,CON
2022-08-01,15.71,6.18,1.89,7.65,CON
2023-09-01,18.91,7.27,2.73,8.9,CON
2021-01-01,34.39,9.97,2.71,21.72,BAYN
2021-02-01,34.39,9.97,2.71,21.72,BAYN
2021-03-01,34.39,9.97,2.71,21.72,BAYN
2021-05-01,28.62,7.9,2.61,18.12,BAYN
2021-09-01,28.62,7.9,2.61,18.12,BAYN
2022-02-01,29.06,8.09,2.85,18.11,BAYN
2022-05-01,29.88,7.34,3.99,18.55,BAYN
2022-08-01,29.88,7.34,3.99,18.55,BAYN
2023-09-01,27.44,6.74,2.8,17.89,BAYN
2021-01-01,41.06,16.54,13.15,11.37,VOW3
2021-02-01,41.06,16.54,13.15,11.37,VOW3
2021-03-01,41.06,16.54,13.15,11.37,VOW3
2021-05-01,32.06,13.26,8.26,10.54,VOW3
2021-09-01,29.64,10.84,8.26,10.54,VOW3
2022-02-01,29.05,10.6,8.23,10.23,VOW3
2022-05-01,29.8,11.35,8.23,10.23,VOW3
2022-08-01,29.75,11.35,8.23,10.17,VOW3
2023-09-01,25.97,11.24,5.65,9.08,VOW3
2021-01-01,19.42,9.93,0.08,9.41,FRE
2021-02-01,19.42,9.93,0.08,9.41,FRE
2021-03-01,19.57,10.07,0.08,9.41,FRE
2021-05-01,19.57,10.07,0.08,9.41,FRE
2021-09-01,17.84,9.24,0.07,8.53,FRE
2022-02-01,17.84,9.24,0.07,8.53,FRE
2022-05-01,17.84,9.24,0.07,8.53,FRE
2022-08-01,19.7,8.93,0.07,10.71,FRE
2023-09-01,18.19,7.56,0.07,10.56,FRE
2021-01-01,24.6,8.78,7.95,7.86,SY1
2021-02-01,24.6,8.78,7.95,7.86,SY1
2021-03-01,24.6,8.78,7.95,7.86,SY1
2021-05-01,24.43,8.78,7.79,7.86,SY1
2021-09-01,24.43,8.78,7.79,7.86,SY1
2022-02-01,23.97,8.32,7.79,7.86,SY1
2022-05-01,23.64,8.06,8.91,6.67,SY1
2022-08-01,20.33,7.73,7.15,5.45,SY1
2023-01-01,20.32,7.45,7.15,5.72,SY1
2023-09-01,21.01,8.21,7.09,5.72,SY1
