symbol,year,timestamp,esgScore,governanceScore,environmentScore,socialScore
1COV,2021,2021-09-01,18.34,5.56,10.29,2.49
1COV,2022,2022-08-01,21.13,6.17,11.44,3.51
ADS,2021,2021-05-01,13.88,7.29,2.18,4.4
ADS,2022,2022-08-01,13.46,6.09,2.82,4.54
AIR,2021,2021-09-01,27.36,9.03,4.46,13.86
AIR,2022,2022-08-01,27.36,9.03,4.46,13.86
ALV,2021,2021-09-01,15.93,8.73,0.77,6.43
ALV,2022,2022-08-01,16.72,8.18,0.52,8.02
BAS,2021,2021-09-01,25.76,8.9,11.25,5.61
BAS,2022,2022-08-01,28.11,8.38,12.82,6.9
BAYN,2021,2021-09-01,28.62,7.9,2.61,18.12
BAYN,2022,2022-08-01,29.88,7.34,3.99,18.55
BEI,2021,2021-09-01,24.06,7.74,8.29,8.03
BEI,2022,2022-08-01,28.97,7.88,8.71,12.38
BMW,2021,2021-09-01,23.38,9.14,6.71,7.53
BMW,2022,2022-08-01,23.14,9.17,6.46,7.52
BNR,2021,2021-09-01,14.53,5.36,3.7,5.48
BNR,2022,2022-08-01,14.73,5.43,3.7,5.59
CON,2021,2021-09-01,13.57,6.48,1.58,5.51
CON,2022,2022-08-01,15.71,6.18,1.89,7.65
DAI,2021,2021-09-01,22.14,7.1,7.76,7.27
DAI,2022,2022-02-01,22.38,7.1,8.0,7.27
DB1,2021,2021-09-01,13.67,7.25,1.45,4.97
DB1,2022,2022-08-01,13.52,7.33,1.7,4.5
DBK,2021,2021-09-01,29.98,14.9,1.61,13.48
DBK,2022,2022-08-01,29.02,15.26,1.43,12.33
DPW,2021,2021-09-01,15.68,4.97,3.96,6.75
DPW,2022,2022-08-01,15.12,4.81,3.96,6.35
DTE,2021,2021-09-01,17.58,6.64,2.72,8.22
DTE,2022,2022-08-01,16.3,5.95,2.6,7.75
EOAN,2021,2021-09-01,18.22,5.42,5.14,7.66
EOAN,2022,2022-08-01,23.2,5.07,7.3,10.83
FRE,2021,2021-09-01,17.84,9.24,0.07,8.53
FRE,2022,2022-08-01,19.7,8.93,0.07,10.71
HEI,2021,2021-09-01,28.76,8.53,16.55,3.68
HEI,2022,2022-08-01,27.01,7.99,15.34,3.68
HNR1,2021,2021-09-01,16.24,10.45,0.34,5.44
HNR1,2022,2022-08-01,17.32,9.77,0.66,6.88
IFX,2021,2021-09-01,17.46,4.87,7.87,4.71
IFX,2022,2022-08-01,17.89,4.79,8.1,5.0
MRK,2021,2021-09-01,20.1,8.41,0.68,11.01
MRK,2022,2022-08-01,21.3,8.62,2.64,10.04
MTX,2021,2021-09-01,24.07,6.15,7.98,9.94
MTX,2022,2022-08-01,24.36,5.58,8.11,10.68
MUV2,2021,2021-05-01,18.36,8.33,0.41,9.61
MUV2,2022,2022-08-01,17.71,7.59,0.41,9.7
PAH3,2021,2021-09-01,23.05,8.51,5.46,9.08
PAH3,2022,2022-08-01,22.24,7.9,6.22,8.13
QIA,2021,2021-09-01,17.45,7.67,1.75,8.03
QIA,2022,2022-08-01,15.51,7.36,1.63,6.52
RWE,2021,2021-09-01,33.23,6.36,18.87,8.0
RWE,2022,2022-08-01,22.68,5.25,10.86,6.57
SAP,2021,2021-09-01,9.69,4.96,0.83,3.9
SAP,2022,2022-08-01,11.04,5.13,2.04,3.87
SIE,2021,2021-09-01,28.43,10.06,9.36,9.01
SIE,2022,2022-08-01,30.08,9.44,9.73,10.91
SY1,2021,2021-09-01,24.43,8.78,7.79,7.86
SY1,2022,2022-08-01,20.33,7.73,7.15,5.45
VNA,2021,2021-09-01,6.75,3.67,0.78,2.31
VNA,2022,2022-08-01,6.75,3.67,0.78,2.31
VOW3,2021,2021-09-01,29.64,10.84,8.26,10.54
VOW3,2022,2022-08-01,29.75,11.35,8.23,10.17
ZAL,2021,2021-09-01,11.86,5.29,1.23,5.34
ZAL,2022,2022-08-01,13.85,4.9,1.93,7.02
